otu	Domain	Phylum	Class	Order	Family
c4685e027d1d57b316bbadb23f57d038	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	 Enterobacteriaceae
88d058706106890db0c581d8f63f592a	Bacteria	Firmicutes	Bacilli	Lactobacillales	NA
a7d9f6677ce342f25c77a401470fb390	Bacteria	Firmicutes	Bacilli	Bacillales	 Planococcaceae
684e7506826175ea9c17999b80b36822	Bacteria	Firmicutes	Clostridia	Clostridiales	 Clostridiaceae
8ce8fc51a804ee60fb0e078c242a564c	Bacteria	Firmicutes	Bacilli	Lactobacillales	 Streptococcaceae
2863299db8f681ff2dbfaa250e580096	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	 Peptostreptococcaceae
9dae70a33455972c946c2d3e16d730ff	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	 Chromobacteriaceae
df1b42accaab7b18b41f2cfde7b9394e	Bacteria	Firmicutes	Clostridia	Lachnospirales	 Lachnospiraceae
f85bdce58781279a0e79179f154410d8	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	 Comamonadaceae
b1d88d1a23b6f0b28f40d695a171951e	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	 Aeromonadaceae
