	Locations	Locations_Group	Fishname	location_sampletype	Locationtype_fishtype	sampletype_speciestype	Diet	Habitats
S213	Lake_Ontario	3	Freshwater_Drum	Lake_OntarioSkin	Lake_OntarioFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S214	Lake_Ontario	3	Walleye	Lake_OntarioSkin	Lake_OntarioWalleye	SkinWalleye	Invertivore_carnivore	Benthopelagic
S215	Lake_Ontario	3	Freshwater_Drum	Lake_OntarioSkin	Lake_OntarioFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S216	Lake_Ontario	3	Freshwater_Drum	Lake_OntarioSkin	Lake_OntarioFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S217	Lake_Ontario	3	White_Bass	Lake_OntarioSkin	Lake_OntarioWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S219	Lake_Ontario	3	White_Bass	Lake_OntarioSkin	Lake_OntarioWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S220	Lake_Ontario	3	White_Bass	Lake_OntarioSkin	Lake_OntarioWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S221	Lake_Ontario	3	Pumpkinseed	Lake_OntarioSkin	Lake_OntarioPumpkinseed	SkinPumpkinseed	Invertivore_carnivore	Benthopelagic
S222	Lake_Ontario	3	White_Bass	Lake_OntarioSkin	Lake_OntarioWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S223	Lake_Ontario	3	White_Bass	Lake_OntarioSkin	Lake_OntarioWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S224	Lake_Ontario	3	White_Bass	Lake_OntarioSkin	Lake_OntarioWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S226	Lake_Ontario	3	White_Bass	Lake_OntarioSkin	Lake_OntarioWhite_Bass	SkinWhite_Bass	Invertivore_carnivore	Benthopelagic
S228	Lake_Erie	2	Walleye	Lake_ErieSkin	Lake_ErieWalleye	SkinWalleye	Invertivore_carnivore	Benthopelagic
S229	Lake_Erie	2	Walleye	Lake_ErieSkin	Lake_ErieWalleye	SkinWalleye	Invertivore_carnivore	Benthopelagic
S230	Lake_Erie	2	Walleye	Lake_ErieSkin	Lake_ErieWalleye	SkinWalleye	Invertivore_carnivore	Benthopelagic
S234	Lake_Ontario	3	Round_Goby	Lake_OntarioSkin	Lake_OntarioRound_Goby	SkinRound_Goby	Invertivore	Benthic
S235	Lake_Ontario	3	Walleye	Lake_OntarioSkin	Lake_OntarioWalleye	SkinWalleye	Invertivore_carnivore	Benthopelagic
S236	Lake_Ontario	3	Walleye	Lake_OntarioSkin	Lake_OntarioWalleye	SkinWalleye	Invertivore_carnivore	Benthopelagic
S242	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S246	Lake_Ontario	3	Walleye	Lake_OntarioSkin	Lake_OntarioWalleye	SkinWalleye	Invertivore_carnivore	Benthopelagic
S255	Lake_Ontario	3	Yellow_Perch	Lake_OntarioSkin	Lake_OntarioYellow_Perch	SkinYellow_Perch	Invertivore_carnivore	Benthopelagic
S256	Lake_Ontario	3	Freshwater_Drum	Lake_OntarioSkin	Lake_OntarioFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S257	Lake_Ontario	3	Freshwater_Drum	Lake_OntarioSkin	Lake_OntarioFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S258	Lake_Ontario	3	Freshwater_Drum	Lake_OntarioSkin	Lake_OntarioFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S259	Lake_Ontario	3	Freshwater_Drum	Lake_OntarioSkin	Lake_OntarioFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S260	Lake_Ontario	3	Freshwater_Drum	Lake_OntarioSkin	Lake_OntarioFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S261	Lake_Ontario	3	White_Sucker	Lake_OntarioSkin	Lake_OntarioWhite_Sucker	SkinWhite_Sucker	Invertivore_detritivore	Benthic
S262	Lake_Ontario	3	White_Perch	Lake_OntarioSkin	Lake_OntarioWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S263	Lake_Ontario	3	White_Perch	Lake_OntarioSkin	Lake_OntarioWhite_Perch	SkinWhite_Perch	Invertivore_carnivore	Benthopelagic
S264	Lake_Ontario	3	Freshwater_Drum	Lake_OntarioSkin	Lake_OntarioFreshwater_Drum	SkinFreshwater_Drum	Invertivore_carnivore	Benthic
S269	Lake_Ontario	3	Round_Goby	Lake_OntarioSkin	Lake_OntarioRound_Goby	SkinRound_Goby	Invertivore	Benthic
S273	Lake_Ontario	3	Round_Goby	Lake_OntarioSkin	Lake_OntarioRound_Goby	SkinRound_Goby	Invertivore	Benthic
S275	Lake_Ontario	3	Round_Goby	Lake_OntarioSkin	Lake_OntarioRound_Goby	SkinRound_Goby	Invertivore	Benthic
S279	Lake_Ontario	3	Round_Goby	Lake_OntarioSkin	Lake_OntarioRound_Goby	SkinRound_Goby	Invertivore	Benthic
S281	Lake_Ontario	3	Round_Goby	Lake_OntarioSkin	Lake_OntarioRound_Goby	SkinRound_Goby	Invertivore	Benthic
S282	Lake_Ontario	3	Round_Goby	Lake_OntarioSkin	Lake_OntarioRound_Goby	SkinRound_Goby	Invertivore	Benthic
