Sample_Id	Locations	Fishname	Diet	Habitats	Weight_Log_Transformed	faith_pd	chao1	shannon_entropy	lOG_Chao1	log_PD	Shannon_Log	  Axis 1	   Axis 2	   Axis 3	  Axis 4	   Axis 5	Lake_Water_Tem
126	3	17	4	2	2.51	8.732039275	65	4.249632288	1.81	0.94	0.63	-45.247	0.28534	15.433	18.969	0.30887	22
127	3	17	4	2	2.52	16.84295489	117	3.935758999	2.07	1.23	0.6	-36.388	21.626	17.849	13.715	-1.9935	22
128	3	8	6	2	4.75	14.89749061	91	4.23794532	1.96	1.17	0.63	-13.88	-0.67083	-13.874	-28.535	3.8546	22
129	3	1	7	3	2.51	5.65622016	16	1.800891106	1.2	0.75	0.26	-8.4239	14.696	-20.995	-21.187	-1.4928	22
130	3	17	4	2	2.54	18.41642	84	4.984674972	1.92	1.27	0.7	-13.749	13.992	4.6115	-12.178	3.2743	22
131	3	17	4	2	2.62	26.32936909	207	5.795390901	2.32	1.42	0.76	-11.255	32.945	0.040713	1.6475	-8.218	22
132	3	1	7	3	2.46	19.78022519	131	4.273953928	2.12	1.3	0.63	-25.854	11.923	24.769	10.567	7.3419	22
133	3	8	6	2	4.53	27.96070965	178	6.073368107	2.25	1.45	0.78	-6.0035	-7.4291	-0.037417	-18.924	-0.086057	22
134	3	7	1	3	2.31	40.94665942	269	6.629805538	2.43	1.61	0.82	-21.325	2.8815	-5.824	2.2016	-12.952	22
135	3	6	4	1	3.55	10.38034764	48	4.749932564	1.68	1.02	0.68	26.156	2.391	6.0142	-7.6093	19.258	22
136	3	9	4	2	2.73	13.0914875	46	4.478268395	1.66	1.12	0.65	5.0308	8.1829	-16.165	-9.9189	6.9432	22
137	3	14	4	2	2.81	11.16330237	43	4.612559596	1.63	1.05	0.66	18.002	4.3209	-6.3483	-5.3603	20.316	22
138	3	7	1	3	4	30.90237516	195	4.651709661	2.29	1.49	0.67	-23.972	23.624	13.515	7.9334	-1.4791	22
139	3	17	4	2	2.49	8.960577096	82	3.41336369	1.91	0.95	0.53	-42.771	17.334	17.974	18.037	-0.88653	22
140	3	14	4	2	2.75	8.952306078	71	3.857664099	1.85	0.95	0.59	-40.726	17.3	20.868	14.519	3.1376	22
141	3	14	4	2	2.86	7.921600809	51	4.249406504	1.71	0.9	0.63	3.2046	16.079	28.121	0.57869	17.887	22
